类型,代码,名称,完整代码,市场
港股,00595,AV CONCEPT HOLD,00595.HK,HK
港股,00596,浪潮数字企业,00596.HK,HK
港股,00598,中国外运,00598.HK,HK
港股,00599,怡邦行控股,00599.HK,HK
港股,00600,爱芯元智,00600.HK,HK
港股,00601,稀镁科技,00601.HK,HK
港股,00602,佳华百货控股,00602.HK,HK
港股,00603,中油燃气,00603.HK,HK
港股,00604,深圳控股,00604.HK,HK
港股,00605,中国金融投资管理,00605.HK,HK
港股,00606,中骏商管,00606.HK,HK
港股,00607,丰盛控股,00607.HK,HK
港股,00608,达利国际,00608.HK,HK
港股,00609,天德化工,00609.HK,HK
港股,00610,WAI KEE HOLD,00610.HK,HK
港股,00611,中国核能科技,00611.HK,HK
港股,00612,嘉文世纪投资公司,00612.HK,HK
港股,00613,梧桐国际,00613.HK,HK
港股,00616,高山企业,00616.HK,HK
港股,00617,百利保控股,00617.HK,HK
港股,00618,北大资源,00618.HK,HK
港股,00619,南华金融,00619.HK,HK
港股,00620,大唐西市,00620.HK,HK
港股,00621,坛金矿业,00621.HK,HK
港股,00622,威华达控股,00622.HK,HK
港股,00623,中视金桥,00623.HK,HK
港股,00626,大众金融控股,00626.HK,HK
港股,00627,共生智筑,00627.HK,HK
港股,00628,通通AI社交,00628.HK,HK
港股,00629,悦达国际控股,00629.HK,HK
港股,00630,隽泰控股,00630.HK,HK
港股,00631,三一国际,00631.HK,HK
港股,00632,中港石油,00632.HK,HK
港股,00635,彩星集团,00635.HK,HK
港股,00636,KLN,00636.HK,HK
港股,00637,利记,00637.HK,HK
港股,00638,广和通,00638.HK,HK
港股,00639,首钢资源,00639.HK,HK
港股,00640,星谦发展,00640.HK,HK
港股,00641,中国恒天立信国际,00641.HK,HK
港股,00643,恒富控股,00643.HK,HK
港股,00645,安域亚洲,00645.HK,HK
港股,00646,中国环保科技,00646.HK,HK
港股,00648,京玖康疗,00648.HK,HK
港股,00650,普达特科技,00650.HK,HK
港股,00653,卓悦控股,00653.HK,HK
港股,00655,香港华人有限公司,00655.HK,HK
港股,00656,复星国际,00656.HK,HK
港股,00657,环科国际,00657.HK,HK
港股,00658,中国高速传动,00658.HK,HK
港股,00659,周大福创建,00659.HK,HK
港股,00660,玮俊生物科技,00660.HK,HK
港股,00661,中国大冶有色金属,00661.HK,HK
港股,00662,亚洲金融,00662.HK,HK
港股,00663,金山能源,00663.HK,HK
港股,00666,瑞浦兰钧,00666.HK,HK
港股,00667,中国东方教育,00667.HK,HK
港股,00669,创科实业,00669.HK,HK
港股,00670,中国东方航空股份,00670.HK,HK
港股,00672,众安集团,00672.HK,HK
港股,00673,中国卫生集团,00673.HK,HK
港股,00674,中国唐商,00674.HK,HK
港股,00675,坚宝国际,00675.HK,HK
港股,00676,创信国际,00676.HK,HK
港股,00677,金源发展国际实业,00677.HK,HK
港股,00679,亚洲联网科技,00679.HK,HK
港股,00681,中民控股,00681.HK,HK
港股,00682,超大现代,00682.HK,HK
港股,00683,嘉里建设,00683.HK,HK
港股,00684,亚伦国际,00684.HK,HK
港股,00685,世界华文媒体,00685.HK,HK
港股,00686,北京能源国际,00686.HK,HK
港股,00687,泰升集团,00687.HK,HK
港股,00688,中国海外发展,00688.HK,HK
港股,00689,长盈集团(控股),00689.HK,HK
港股,00690,联康生物科技集团,00690.HK,HK
港股,00691,山水水泥,00691.HK,HK
港股,00693,陈唱国际,00693.HK,HK
港股,00694,北京首都机场股份,00694.HK,HK
港股,00695,东吴水泥,00695.HK,HK
港股,00696,中国民航信息网络,00696.HK,HK
港股,00697,首程控股,00697.HK,HK
港股,00698,通达集团,00698.HK,HK
港股,00699,均胜电子,00699.HK,HK
港股,00700,腾讯控股,00700.HK,HK
港股,00701,CNT GROUP,00701.HK,HK
港股,00702,中国油气控股,00702.HK,HK
港股,00703,FUTURE BRIGHT,00703.HK,HK
港股,00704,和嘉控股,00704.HK,HK
港股,00707,亚洲电视控股,00707.HK,HK
港股,00708,恒大汽车,00708.HK,HK
港股,00709,佐丹奴国际,00709.HK,HK
港股,00710,京东方精电,00710.HK,HK
港股,00711,亚洲联合基建控股,00711.HK,HK
港股,00712,卡姆丹克太阳能,00712.HK,HK
港股,00713,世界(集团),00713.HK,HK
港股,00716,胜狮货柜,00716.HK,HK
港股,00717,英皇资本,00717.HK,HK
港股,00718,太和控股,00718.HK,HK
港股,00719,山东新华制药股份,00719.HK,HK
港股,00720,意达利控股,00720.HK,HK
港股,00721,中国金融国际,00721.HK,HK
港股,00722,联合医务,00722.HK,HK
港股,00723,信保环球控股,00723.HK,HK
港股,00724,瑞鑫国际集团,00724.HK,HK
港股,00725,恒都集团,00725.HK,HK
港股,00726,筑友智造科技,00726.HK,HK
港股,00727,皇冠环球集团,00727.HK,HK
港股,00728,中国电信,00728.HK,HK
港股,00730,首惠产业金融,00730.HK,HK
港股,00731,建发新胜,00731.HK,HK
港股,00732,信利国际,00732.HK,HK
港股,00733,合富辉煌,00733.HK,HK
港股,00736,中国置业投资,00736.HK,HK
港股,00737,湾区发展,00737.HK,HK
港股,00738,莱尔斯丹,00738.HK,HK
港股,00743,亚洲水泥(中国),00743.HK,HK
港股,00745,中国国家文化产业,00745.HK,HK
港股,00746,理文化工,00746.HK,HK
港股,00747,沈阳公用发展股份,00747.HK,HK
港股,00750,水发兴业能源,00750.HK,HK
港股,00751,创维集团,00751.HK,HK
港股,00752,PICO FAR EAST,00752.HK,HK
港股,00753,中国国航,00753.HK,HK
港股,00754,合生创展集团,00754.HK,HK
港股,00755,大方广瑞德,00755.HK,HK
港股,00756,森美控股,00756.HK,HK
港股,00757,阳光能源,00757.HK,HK
港股,00759,CEC INT'L HOLD,00759.HK,HK
港股,00760,新天地产集团,00760.HK,HK
港股,00762,中国联通,00762.HK,HK
港股,00763,中兴通讯,00763.HK,HK
港股,00764,永恒策略,00764.HK,HK
港股,00765,PERFECTECH INTL,00765.HK,HK
港股,00767,中基长寿科学,00767.HK,HK
港股,00768,开明投资,00768.HK,HK
港股,00769,中国稀土,00769.HK,HK
港股,00770,SHANGHAI GROWTH,00770.HK,HK
港股,00771,自动系统,00771.HK,HK
港股,00772,阅文集团,00772.HK,HK
港股,00775,长江生命科技,00775.HK,HK
港股,00776,帝国科技集团,00776.HK,HK
港股,00777,网龙,00777.HK,HK
港股,00780,同程旅行,00780.HK,HK
港股,00784,凌锐控股,00784.HK,HK
港股,00788,中国铁塔,00788.HK,HK
港股,00789,雅天妮集团,00789.HK,HK
港股,00794,锦胜集团(控股),00794.HK,HK
港股,00797,第七大道,00797.HK,HK
港股,00798,中电光谷,00798.HK,HK
港股,00799,IGG,00799.HK,HK
港股,00800,文远知行-W,00800.HK,HK
港股,00802,中国钱包,00802.HK,HK
港股,00804,鼎石资本,00804.HK,HK
港股,00805,新吉奥房车,00805.HK,HK
港股,00806,惠理集团,00806.HK,HK
港股,00807,上海实业环境,00807.HK,HK
港股,00809,大成生化科技,00809.HK,HK
港股,00810,中国铸晨81,00810.HK,HK
港股,00811,新华文轩,00811.HK,HK
港股,00813,世茂集团,00813.HK,HK
港股,00814,北京京客隆,00814.HK,HK
港股,00815,中国白银集团,00815.HK,HK
港股,00816,金茂服务,00816.HK,HK
港股,00817,中国金茂,00817.HK,HK
港股,00818,高阳科技,00818.HK,HK
港股,00819,天能动力,00819.HK,HK
港股,00821,汇盈控股,00821.HK,HK
港股,00822,嘉瑞国际,00822.HK,HK
港股,00825,新世界百货中国,00825.HK,HK
